序号	栏目名
INT	STRING
1	暴走漫画-暴走脱口秀
2	鲸梦动画作品
3	暴走漫画-脑残对话
4	暴走漫画出的坑爹手游
5	《绝对动漫》
6	大姨来了吗
7	36公开氪
8	壹读视频
9	腾讯新闻百科
10	不可能恋爱？
11	好传乱舞集
12	星际播报第二季
13	创客营
14	逗逼者联盟
15	口水三国
16	动画·夏午茶小姐
17	花怪村
18	CS反恐精英-比赛
19	CS反恐精英-教学
20	美一天
21	王希测试测试
22	新科动漫引进节目
23	欧子早期作品回顾
24	2012在职硕士十月联考大纲解析及备考指导
25	何仙姑夫其他作品（创意配音、歪唱）
26	歪歌社团【恶搞配音】
27	歪歌社团【爆笑音译】
28	歪歌社团【创意视频】
29	歪歌社团【超牛剪辑】
30	歪歌社团【歪唱歌曲】
31	danz健身教学
32	高铭脱口秀2013 爆笑 搞笑 
33	天津妞犀利吐槽系列
34	歪歌社团【原创评书】
35	各大媒体采访报道歪歌社团
36	揍啥呢
37	每日一囧
38	吟笑派创意搞笑视频
39	【TMD】逗你玩
40	美人每期
41	TMD原创搞笑合辑
42	飞碟一分钟
43	奇趣盘点
44	【欧子最吐槽】
45	咚哥唱谈
46	畅所欲言(每周三更新)
47	雷人日记（每周四更新）
48	蛋蔬夫妻搞怪搞笑视频集
49	Big笑工坊
50	萝莉说美女系列
51	春色无边恶搞
52	逆天话题
53	神街访-2014
54	笑屌大牙
55	艳星档案
56	老陕说穿帮
57	Big图槽
58	90后的秀
59	教你in招
60	激情篇
61	功夫书生混剪视频
62	我访你话
63	仰山人神吐槽
64	豆比欢乐多（每周三更新）
65	徐的秀
66	吟笑派配音练习
67	唐唐脱口秀
68	刺猬日記
69	《五妹说事》第1季
70	【热点歪唱】 
71	买萌卖萌
72	牛男健身
73	社交八卦
74	全面强健
75	牛男励志
76	牛男泡妞
77	搞笑奇趣集中营
78	【周天灰常点评】
79	草民影音坊
80	《屌丝心理学》综合系列
81	极品街访
82	混剪视频
83	萝莉侃剧系列
84	混剪队长
85	失败盘点
86	唉哟奎霓
87	声琴相拥歪歌作品
88	声琴相拥配音作品
89	声琴相拥音译作品
90	【欧子爱找刺儿】
91	【欧子直译】
92	嘻哈包袱铺2013封箱
93	剑少兮搞笑作品全集
94	声琴相拥逗比短剧
95	胡狼工作室
96	《啪啪啪一分半》（每周二上午更新）
97	《卧槽大片》
98	1626城中至潮
99	小V剪辑
100	亚男歪唱
101	神马看世界
102	咆哮小猪
103	最响说
104	大案命案要案在身《奥巴马》
105	大案命案要案在身《西游记》
106	淮秀帮创意配音
107	嘻哈包袱铺合辑（五）
108	嘻哈包袱铺合辑（六）
109	嘻哈包袱铺合辑（七）
110	嘻哈包袱铺合辑（一）
111	嘻哈包袱铺合辑（二）
112	嘻哈包袱铺合辑（三）
113	嘻哈包袱铺合辑（四）
114	大案命案要案在身
115	CJ2014
116	《美女色拉》
117	嘻哈包袱铺5周年庆典 
118	奎霓说得出
119	新中国电视史
120	童言汇
121	有意思
122	亚男吐槽秀
123	爱死磕霓
124	《你造吗》第一季
125	全职猎人（2011）版
126	麦兜找穿帮（每周二、周五更新）
127	妹子说热剧
128	厕所新闻
129	马桶君恶搞
130	《功夫鸡》（每周一上午更新）
131	碉堡工厂
132	2B组合黑人小沈阳
133	屌丝联盟屌丝系列剧
134	小略周一贱（每周一更新）
135	【经典剪辑】 
136	【新闻使劲整】
137	2014年每月热映电影集锦
138	文艺篇
139	笑料百出
140	毁西游系列恶搞短片
141	《不要脸脱口秀》
142	长篇幽默短剧(72集)
143	【BIG博士】择业抓瞎指南
144	唐纳德在中国
145	1306原创搞笑栏目
146	每日一葩
147	【恶人谷创意秀】
148	牛人 绝活 绝技
149	催绵大湿
150	小山羊笑声屋
151	高铭会
152	开心一笑（每周二、周六定期与您相约）
153	大银幕
154	一仔X娱乐
155	把酒当歌
156	嘻哈包袱铺《众月捧星》专场
157	「电影追忆」
158	每日一瞎
159	影视剧的神逻辑
160	冷三笑
161	轻松一笑
162	森哥爆笑剧场
163	女神吐槽
164	搞笑模仿
165	【王炸天作品】但吐无妨
166	【剧有搞头】
167	坑爹脱口秀
168	东北猫系列视频
169	名嘴惊堂木
170	马桶说
171	画疯
172	mv
173	《屌丝心理学》爱情系列
174	麻辣剧场
175	娱乐麻辣烫
176	小宝说书
177	【神曲】人猿歌
178	分分钟涨姿势
179	周星星麻辣喜剧
180	疯工厂（第一季）
181	全民翻唱
182	没玩没了
183	天天趣闻
184	【新片场发行】忍者宅男
185	你好陌生人
186	双鱼日日谈
187	唱罢吹灯【吹辣弹唱】搞笑系列
188	娱人榜
189	整蛊
190	嗨皮梦工厂
191	系列网剧
192	小强贱身
193	屌丝逆袭记
194	微八吧
195	模仿秀
196	30天初学者开始健身计划
197	牛男劲报
198	街头整蛊
199	我的专辑
200	大话周星星
201	烂香蕉泡妞教学
202	逗你乐
203	2014搞笑傻缺视频集锦
204	扭蛋鲜知
205	超级神街坊
206	习大大爱着彭麻麻团队
207	调侃一分半
208	神曲唱不停
209	【飞碟词酷】
210	笑侃电影
211	【飞碟一分钟】第二季
212	一风之音《恶了就搞》
213	马马虎虎
214	小操大吐槽（每周三更新）
215	【飞碟唱】
216	《嗨小冷》第一季
217	《女神别来无恙》第一季
218	心机姐妹
219	后悔有期
220	萝莉说趣事
221	【盘点2014】 
222	影视调侃
223	最响问
224	吐槽恶搞
225	盒子脱口秀
226	直男日记
227	【穿帮吐槽】神雕瞎侣+武媚娘传奇
228	吐槽一分半
229	小报告
230	逗比黑板报
231	塞鲁斯笑报
232	欧阳不乱弹
233	袁超工作室
234	2015年每月全球新片混剪
235	神曲疯人院
236	笑吧图趣事
237	小v烩大v
238	【喵闻联播】
239	网剧《猴猴侠》
240	娱乐作品
241	牛男Club
242	小明和他的小伙伴
243	【喵了个咪】
244	简笔笑画第四季
245	七嘴八舌
246	极品拍拍秀
247	嗨综艺
248	大童小议
249	嗨电影
250	美男子天团
251	《屌丝心理学》之七宗罪系列
252	中国好街访《怪话》
253	太隆搞笑剧场
254	酷客春季恶作剧
255	咸鱼新技能
256	海洋爆笑剧场
257	小凯配音《腐败风云系类》
258	天雷滚滚
259	饭后娱乐
260	电影开倒车
261	百闻不如一贱
262	圈里事
263	《嗨小冷》第二季
264	楠楠秀法er
265	《狼哥脱口秀》栏目正片
266	幕微视
267	【最耀B】第三季
268	【最耀B】第二季
269	【最耀B】第一季
270	文明搞笑剧场
271	逗娱乐
272	说什么呢
273	播放排行榜
274	波姬唱歪歪
275	波姬小私说
276	【飞碟宝贝计划】
277	灿烂脱口秀
278	谈古论今
279	脱口秀《一本八道》
280	《超级大喇叭》栏目
281	开心老外go
282	阿汤哥说防范
283	女王驾到
284	新闻麻辣烫之一日一囧第一季
285	我（ZHE）不（SHI）会吐槽
286	《超人来啦》栏目
287	郑在秀
